/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'pole_balance_reward': 3.3549907415576654, 'movement_reward': 11.209637356612838, 'gpt_reward': 14.564628098170504, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 2 finished with reward: {'pole_balance_reward': 3.2451162795444826, 'movement_reward': 11.039846964419214, 'gpt_reward': 14.284963243963695, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 3 finished with reward: {'pole_balance_reward': 3.201726379499032, 'movement_reward': 12.710780492631452, 'gpt_reward': 15.912506872130486, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 4 finished with reward: {'pole_balance_reward': 3.202463721017004, 'movement_reward': 13.157414631342172, 'gpt_reward': 16.359878352359175, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 5 finished with reward: {'pole_balance_reward': 3.3454354654322778, 'movement_reward': 15.01116146736897, 'gpt_reward': 18.35659693280125, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 1 finished with reward: {'pole_balance_reward': 3.3314692792491227, 'movement_reward': 11.08004415898834, 'gpt_reward': 14.411513438237463, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 2 finished with reward: {'pole_balance_reward': 3.3903009855920914, 'movement_reward': 11.240739052382267, 'gpt_reward': 14.631040037974357, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 3 finished with reward: {'pole_balance_reward': 3.354393317304978, 'movement_reward': 10.994891572126809, 'gpt_reward': 14.349284889431784, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 4 finished with reward: {'pole_balance_reward': 3.3883131320719633, 'movement_reward': 11.091089414243887, 'gpt_reward': 14.479402546315853, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 5 finished with reward: {'pole_balance_reward': 3.3323929679008546, 'movement_reward': 12.92861296698072, 'gpt_reward': 16.261005934881574, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 1 finished with reward: {'pole_balance_reward': 3.0317680741677484, 'movement_reward': 8.589101066809338, 'gpt_reward': 11.620869140977087, 'gt_reward': 31.0, 'episode_length': 22.0}
Episode 2 finished with reward: {'pole_balance_reward': 3.146323328033916, 'movement_reward': 12.988729188955851, 'gpt_reward': 16.135052516989767, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 3 finished with reward: {'pole_balance_reward': 3.0664694339753775, 'movement_reward': 10.512830336975751, 'gpt_reward': 13.579299770951128, 'gt_reward': 31.0, 'episode_length': 22.0}
Episode 4 finished with reward: {'pole_balance_reward': 3.269244394443873, 'movement_reward': 10.999281222814838, 'gpt_reward': 14.26852561725871, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 5 finished with reward: {'pole_balance_reward': 3.229356391160028, 'movement_reward': 13.107076066932557, 'gpt_reward': 16.33643245809258, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 1 finished with reward: {'pole_balance_reward': 3.2720768897470007, 'movement_reward': 11.0259679778442, 'gpt_reward': 14.298044867591202, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 2 finished with reward: {'pole_balance_reward': 3.1390779672526525, 'movement_reward': 10.860057954510403, 'gpt_reward': 13.999135921763054, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 3 finished with reward: {'pole_balance_reward': 3.3838627960867234, 'movement_reward': 15.496876108609033, 'gpt_reward': 18.88073890469576, 'gt_reward': 33.0, 'episode_length': 24.0}
Episode 4 finished with reward: {'pole_balance_reward': 3.137339760196657, 'movement_reward': 12.812774215278383, 'gpt_reward': 15.950113975475041, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 5 finished with reward: {'pole_balance_reward': 3.403393212839448, 'movement_reward': 13.778991271054704, 'gpt_reward': 17.182384483894154, 'gt_reward': 33.0, 'episode_length': 24.0}
Episode 1 finished with reward: {'pole_balance_reward': 2.9978208590101048, 'movement_reward': 10.15393838279417, 'gpt_reward': 13.151759241804275, 'gt_reward': 31.0, 'episode_length': 22.0}
Episode 2 finished with reward: {'pole_balance_reward': 3.361847682100432, 'movement_reward': 12.814734177476582, 'gpt_reward': 16.176581859577016, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 3 finished with reward: {'pole_balance_reward': 3.212651047749927, 'movement_reward': 13.133965967163613, 'gpt_reward': 16.346617014913537, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 4 finished with reward: {'pole_balance_reward': 3.2010012971820325, 'movement_reward': 13.122846273814167, 'gpt_reward': 16.3238475709962, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 5 finished with reward: {'pole_balance_reward': 3.192551122791351, 'movement_reward': 12.871727940317893, 'gpt_reward': 16.064279063109247, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 1 finished with reward: {'pole_balance_reward': 3.170097555217918, 'movement_reward': 13.008726358920185, 'gpt_reward': 16.178823914138103, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 2 finished with reward: {'pole_balance_reward': 3.3091351051103475, 'movement_reward': 12.866436667897954, 'gpt_reward': 16.1755717730083, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 3 finished with reward: {'pole_balance_reward': 3.372977779844097, 'movement_reward': 11.139846021621322, 'gpt_reward': 14.512823801465418, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 4 finished with reward: {'pole_balance_reward': 3.0558340394963635, 'movement_reward': 10.512935395623856, 'gpt_reward': 13.56876943512022, 'gt_reward': 31.0, 'episode_length': 22.0}
Episode 5 finished with reward: {'pole_balance_reward': 3.054426174647776, 'movement_reward': 10.444313655626331, 'gpt_reward': 13.498739830274108, 'gt_reward': 31.0, 'episode_length': 22.0}
