/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'pole_balance_reward': -4.413767511119607, 'cart_movement_reward': 4.175227025512835, 'gpt_reward': -0.23854048560677366, 'gt_reward': 33.0, 'episode_length': 24.0}
Episode 2 finished with reward: {'pole_balance_reward': -4.56910842734888, 'cart_movement_reward': 4.3867132465083705, 'gpt_reward': -0.18239518084050976, 'gt_reward': 33.0, 'episode_length': 24.0}
Episode 3 finished with reward: {'pole_balance_reward': -4.680638019291427, 'cart_movement_reward': 4.387432755948931, 'gpt_reward': -0.29320526334249775, 'gt_reward': 33.0, 'episode_length': 24.0}
Episode 4 finished with reward: {'pole_balance_reward': -4.496431600223679, 'cart_movement_reward': 3.7872855419715545, 'gpt_reward': -0.7091460582521234, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 5 finished with reward: {'pole_balance_reward': -4.803085540028809, 'cart_movement_reward': 3.6291317614923946, 'gpt_reward': -1.1739537785364131, 'gt_reward': 32.0, 'episode_length': 23.0}
Episode 1 finished with reward: {'pole_balance_reward': -5.030058241967312, 'cart_movement_reward': 4.992336630901998, 'gpt_reward': -0.03772161106531369, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 2 finished with reward: {'pole_balance_reward': -5.339679571009874, 'cart_movement_reward': 6.4837644623030055, 'gpt_reward': 1.1440848912931318, 'gt_reward': 36.0, 'episode_length': 27.0}
Episode 3 finished with reward: {'pole_balance_reward': -5.166101636510098, 'cart_movement_reward': 5.774982495983628, 'gpt_reward': 0.6088808594735298, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 4 finished with reward: {'pole_balance_reward': -5.458768629739127, 'cart_movement_reward': 7.135323579472093, 'gpt_reward': 1.676554949732966, 'gt_reward': 37.0, 'episode_length': 28.0}
Episode 5 finished with reward: {'pole_balance_reward': -5.137132141569606, 'cart_movement_reward': 5.774390133165614, 'gpt_reward': 0.6372579915960077, 'gt_reward': 35.0, 'episode_length': 26.0}
Episode 1 finished with reward: {'pole_balance_reward': -5.812980368090578, 'cart_movement_reward': 7.9042682627174665, 'gpt_reward': 2.0912878946268894, 'gt_reward': 38.0, 'episode_length': 29.0}
Episode 2 finished with reward: {'pole_balance_reward': -5.731680254592219, 'cart_movement_reward': 5.994721490922801, 'gpt_reward': 0.26304123633058163, 'gt_reward': 36.0, 'episode_length': 27.0}
Episode 3 finished with reward: {'pole_balance_reward': -5.45639776567279, 'cart_movement_reward': 7.1506316571162705, 'gpt_reward': 1.6942338914434785, 'gt_reward': 37.0, 'episode_length': 28.0}
Episode 4 finished with reward: {'pole_balance_reward': -5.696373455121259, 'cart_movement_reward': 6.618817411481246, 'gpt_reward': 0.922443956359987, 'gt_reward': 38.0, 'episode_length': 29.0}
Episode 5 finished with reward: {'pole_balance_reward': -5.8027958534167645, 'cart_movement_reward': 6.022051042695429, 'gpt_reward': 0.21925518927866283, 'gt_reward': 38.0, 'episode_length': 29.0}
Episode 1 finished with reward: {'pole_balance_reward': -5.478416702962549, 'cart_movement_reward': 7.151670685393132, 'gpt_reward': 1.6732539824305848, 'gt_reward': 37.0, 'episode_length': 28.0}
Episode 2 finished with reward: {'pole_balance_reward': -5.467670697762713, 'cart_movement_reward': 6.581195425312924, 'gpt_reward': 1.1135247275502107, 'gt_reward': 37.0, 'episode_length': 28.0}
Episode 3 finished with reward: {'pole_balance_reward': -5.7043354678788605, 'cart_movement_reward': 6.627579528416134, 'gpt_reward': 0.923244060537272, 'gt_reward': 38.0, 'episode_length': 29.0}
Episode 4 finished with reward: {'pole_balance_reward': -5.692946055017442, 'cart_movement_reward': 5.997037536099259, 'gpt_reward': 0.30409148108181616, 'gt_reward': 36.0, 'episode_length': 27.0}
Episode 5 finished with reward: {'pole_balance_reward': -5.465944519620022, 'cart_movement_reward': 6.579976026163126, 'gpt_reward': 1.1140315065431046, 'gt_reward': 37.0, 'episode_length': 28.0}
