/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'pole_balance_reward': 122.21208779218762, 'cart_movement_reward': -26.243067395476476, 'pole_velocity_penalty': -11.777306848362796, 'gpt_reward': 84.19171354834808, 'gt_reward': 772.0, 'episode_length': 763.0}
Episode 2 finished with reward: {'pole_balance_reward': 258.1885478585459, 'cart_movement_reward': -55.20330690660496, 'pole_velocity_penalty': -25.18098299884002, 'gpt_reward': 177.80425795310035, 'gt_reward': 1614.0, 'episode_length': 1605.0}
Episode 3 finished with reward: {'pole_balance_reward': 174.02103022702497, 'cart_movement_reward': -37.31440434677051, 'pole_velocity_penalty': -16.980057618493458, 'gpt_reward': 119.7265682617601, 'gt_reward': 1205.0, 'episode_length': 1088.0}
Episode 4 finished with reward: {'pole_balance_reward': 125.82551264327871, 'cart_movement_reward': -27.034142821552432, 'pole_velocity_penalty': -11.987501180784337, 'gpt_reward': 86.80386864094153, 'gt_reward': 795.0, 'episode_length': 786.0}
Episode 5 finished with reward: {'pole_balance_reward': 83.32966178437643, 'cart_movement_reward': -17.88518354606529, 'pole_velocity_penalty': -7.679833276265707, 'gpt_reward': 57.76464496204524, 'gt_reward': 529.0, 'episode_length': 520.0}
Episode 1 finished with reward: {'pole_balance_reward': 79.09450278645402, 'cart_movement_reward': -17.128502703731765, 'pole_velocity_penalty': -7.710265355318558, 'gpt_reward': 54.25573472740349, 'gt_reward': 507.0, 'episode_length': 498.0}
Episode 2 finished with reward: {'pole_balance_reward': 279.15274844838416, 'cart_movement_reward': -59.6402082093788, 'pole_velocity_penalty': -27.237269859312452, 'gpt_reward': 192.2752703796921, 'gt_reward': 1743.0, 'episode_length': 1734.0}
Episode 3 finished with reward: {'pole_balance_reward': 91.63608583738873, 'cart_movement_reward': -19.81128023564153, 'pole_velocity_penalty': -8.93932090010822, 'gpt_reward': 62.88548470163883, 'gt_reward': 585.0, 'episode_length': 576.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.2682024201178, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.45219371736753, 'gpt_reward': 222.02684121788286, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.8128420851456, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.52336489366718, 'gpt_reward': 222.50030970661135, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.6975359885457, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.841033763252224, 'gpt_reward': 223.0673347404269, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.74066267428003, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.761073531792462, 'gpt_reward': 223.19042165762096, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 321.87710413921127, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.571352250993343, 'gpt_reward': 221.51658440335115, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 176.15325200792728, 'cart_movement_reward': -37.558885446736895, 'pole_velocity_penalty': -17.762615622952556, 'gpt_reward': 120.83175093823735, 'gt_reward': 1101.0, 'episode_length': 1092.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.7599274129975, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.995449164509758, 'gpt_reward': 222.97531076362037, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.83519978805487, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.04028911921708, 'gpt_reward': 224.00574318397048, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.85653989755025, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.407580106076765, 'gpt_reward': 222.65979230660614, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.83049414042, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.979794394248177, 'gpt_reward': 222.06153226130414, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.1584961486792, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.509129145287446, 'gpt_reward': 221.8601995185255, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.8564918023375, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.85274013774761, 'gpt_reward': 223.2145841797225, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.86875610122917, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.40835578558364, 'gpt_reward': 224.6712328307786, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.8540892201739, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.596968179641383, 'gpt_reward': 224.4679535556651, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.86300102256473, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.910377778817352, 'gpt_reward': 224.1634557588802, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.8173994410094, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.520298424596167, 'gpt_reward': 224.50793353154614, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.8925073311808, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.4365126320809, 'gpt_reward': 224.6668272142326, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.90212876049856, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.38998980862088, 'gpt_reward': 222.72297146701126, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.9176314459394, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.685680336845394, 'gpt_reward': 224.44278362422665, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.87136215478864, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.856059765445288, 'gpt_reward': 224.22613490447577, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.94213435679234, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.11960954401873, 'gpt_reward': 223.03335732790632, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.94648273036364, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.817719413741386, 'gpt_reward': 224.33959583175533, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.9608158280325, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.047172363090766, 'gpt_reward': 224.12447598007486, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 321.4659732178357, 'cart_movement_reward': -68.5753619548736, 'pole_velocity_penalty': -31.606333077602862, 'gpt_reward': 221.28427818535846, 'gt_reward': 2225.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.05179383130337, 'cart_movement_reward': -68.68226471987026, 'pole_velocity_penalty': -31.81884940606619, 'gpt_reward': 221.5506797053667, 'gt_reward': 2117.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.93826716102177, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.12813517692414, 'gpt_reward': 224.02096449923107, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.96485253652764, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -32.10819360632453, 'gpt_reward': 222.06749144533643, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.9575942085406, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.48064647767188, 'gpt_reward': 223.68778024600186, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.14529425045026, 'cart_movement_reward': -68.5753619548736, 'pole_velocity_penalty': -31.523560216987978, 'gpt_reward': 222.04637207858894, 'gt_reward': 2225.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.967872848832, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -32.389331730408564, 'gpt_reward': 221.78937363355678, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.1193198886272, 'cart_movement_reward': -68.57536195487359, 'pole_velocity_penalty': -31.43520190967368, 'gpt_reward': 222.10875602408007, 'gt_reward': 2225.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.9633149468712, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.045934605163847, 'gpt_reward': 223.12821285683995, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.3697850086548, 'cart_movement_reward': -68.68226471987026, 'pole_velocity_penalty': -31.50297100159071, 'gpt_reward': 222.18454928719325, 'gt_reward': 2117.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.4332885788156, 'cart_movement_reward': -68.68226471987026, 'pole_velocity_penalty': -31.538485238025785, 'gpt_reward': 222.21253862091902, 'gt_reward': 2117.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.9922012135923, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.364176954884204, 'gpt_reward': 224.83885677384055, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.9683557988656, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.252363866893543, 'gpt_reward': 222.92682444710542, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.9496753508793, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.525055733123686, 'gpt_reward': 224.63545213288825, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.94841719550044, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.155272203683904, 'gpt_reward': 224.00397750694952, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.7635924742252, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.83376595783629, 'gpt_reward': 222.1406590315219, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.9974099074381, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.6955326102441, 'gpt_reward': 222.5127098123268, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.7426075333699, 'cart_movement_reward': -68.68226471987026, 'pole_velocity_penalty': -31.40885275000327, 'gpt_reward': 222.65149006349674, 'gt_reward': 2117.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.9976332429316, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -32.024346561264245, 'gpt_reward': 222.18411919680028, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.99438917438914, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.062480700691207, 'gpt_reward': 223.14274098883064, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.99155302512673, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.230840353714317, 'gpt_reward': 223.9715451865447, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.9181634768881, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -32.10389674816981, 'gpt_reward': 222.02509924385086, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.8823007299168, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -32.17715434543794, 'gpt_reward': 221.91597889961207, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.96782039115953, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.97678644091069, 'gpt_reward': 223.20186646538156, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 293.69041146748094, 'cart_movement_reward': -62.56374782748559, 'pole_velocity_penalty': -29.54472828451544, 'gpt_reward': 201.58193535547903, 'gt_reward': 1828.0, 'episode_length': 1819.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.93656918684104, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.96819203655416, 'gpt_reward': 224.17920966542053, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.9978708129234, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.762548907287506, 'gpt_reward': 222.44615442076915, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 323.0015453505381, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.65505818868989, 'gpt_reward': 222.5573196769805, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 323.0041624686973, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.107716670888433, 'gpt_reward': 223.107278312942, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.9957195096282, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.226539523893752, 'gpt_reward': 222.98001250086773, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 269.6456271281783, 'cart_movement_reward': -57.438954849863094, 'pole_velocity_penalty': -27.08126295916738, 'gpt_reward': 185.12540931914654, 'gt_reward': 1679.0, 'episode_length': 1670.0}
Episode 3 finished with reward: {'pole_balance_reward': 322.99161135136535, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.373271894180075, 'gpt_reward': 224.82917197231794, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'pole_balance_reward': 322.97546807794527, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.335097496048547, 'gpt_reward': 223.85120309703052, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.971932659873, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.010418136068626, 'gpt_reward': 224.17234703893735, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.94796157686164, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.059369704348317, 'gpt_reward': 224.0994243876451, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 323.00564617563, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.33139574234373, 'gpt_reward': 223.88508294842003, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 191.48791442971537, 'cart_movement_reward': -40.791976318525585, 'pole_velocity_penalty': -19.307156949117807, 'gpt_reward': 131.3887811620714, 'gt_reward': 1195.0, 'episode_length': 1186.0}
Episode 4 finished with reward: {'pole_balance_reward': 323.0002762565258, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.990232009638635, 'gpt_reward': 224.22087676201997, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'pole_balance_reward': 323.00286481112215, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -30.3802197736252, 'gpt_reward': 223.8334775526312, 'gt_reward': 2000.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 322.9632118707836, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.499980056618938, 'gpt_reward': 224.67406432929724, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'pole_balance_reward': 322.9493252562371, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -32.76795929726213, 'gpt_reward': 221.39219847410894, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'pole_balance_reward': 263.2029501204892, 'cart_movement_reward': -56.06317150016578, 'pole_velocity_penalty': -26.16043054275213, 'gpt_reward': 180.97934807757056, 'gt_reward': 1639.0, 'episode_length': 1630.0}
Episode 4 finished with reward: {'pole_balance_reward': 284.9869345582459, 'cart_movement_reward': -60.70644030539422, 'pole_velocity_penalty': -28.94920969493683, 'gpt_reward': 195.3312845579136, 'gt_reward': 1774.0, 'episode_length': 1765.0}
Episode 5 finished with reward: {'pole_balance_reward': 322.9693112290268, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -29.51587046211922, 'gpt_reward': 224.6642732820406, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'pole_balance_reward': 323.01127823951833, 'cart_movement_reward': -68.78916748486694, 'pole_velocity_penalty': -31.774266323167872, 'gpt_reward': 222.44784443148342, 'gt_reward': 2009.0, 'episode_length': 2000.0}
