/Users/chunhaozou/Desktop/drl/envs/cartpole_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
/opt/miniconda3/envs/drl/lib/python3.11/site-packages/gymnasium/envs/classic_control/cartpole.py:214: UserWarning: [33mWARN: You are calling 'step()' even though this environment has already returned terminated = True. You should always call 'reset()' once you receive 'terminated = True' -- any further steps are undefined behavior.[0m
  logger.warn(
Episode 1 finished with reward: {'angle_reward': 80.80563133612586, 'velocity_reward': 23.375546865439695, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 74.4589539508195, 'gpt_reward': 178.64013215238504, 'gt_reward': 103.0, 'episode_length': 94.0}
Episode 2 finished with reward: {'angle_reward': 66.76662941516088, 'velocity_reward': 17.836035173090963, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 61.2252289866238, 'gpt_reward': 145.82789357487576, 'gt_reward': 89.0, 'episode_length': 80.0}
Episode 3 finished with reward: {'angle_reward': 67.7100597076646, 'velocity_reward': 18.752962835065997, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 62.38462319648322, 'gpt_reward': 148.8476457392139, 'gt_reward': 90.0, 'episode_length': 81.0}
Episode 4 finished with reward: {'angle_reward': 68.17513061248853, 'velocity_reward': 18.33330473579858, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 62.44584770530419, 'gpt_reward': 148.95428305359135, 'gt_reward': 90.0, 'episode_length': 81.0}
Episode 5 finished with reward: {'angle_reward': 70.94549101272919, 'velocity_reward': 19.317081688992616, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 65.25019814550177, 'gpt_reward': 155.51277084722358, 'gt_reward': 93.0, 'episode_length': 84.0}
Episode 1 finished with reward: {'angle_reward': 543.2279870581385, 'velocity_reward': 231.1664790611603, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 525.4816373232502, 'gpt_reward': 1299.8761034425495, 'gt_reward': 569.0, 'episode_length': 560.0}
Episode 2 finished with reward: {'angle_reward': 350.31078921993884, 'velocity_reward': 161.14053168205288, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 340.45220931429805, 'gpt_reward': 851.90353021629, 'gt_reward': 375.0, 'episode_length': 366.0}
Episode 3 finished with reward: {'angle_reward': 262.17648301825335, 'velocity_reward': 129.926781627184, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 255.32928131398043, 'gpt_reward': 647.4325459594181, 'gt_reward': 286.0, 'episode_length': 277.0}
Episode 4 finished with reward: {'angle_reward': 163.7300318541118, 'velocity_reward': 92.95261382496442, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 161.04780730106106, 'gpt_reward': 417.73045298013693, 'gt_reward': 187.0, 'episode_length': 178.0}
Episode 5 finished with reward: {'angle_reward': 604.7943552618592, 'velocity_reward': 258.6190938722766, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 585.5372681312853, 'gpt_reward': 1448.950717265422, 'gt_reward': 631.0, 'episode_length': 622.0}
Episode 1 finished with reward: {'angle_reward': 339.87809126889124, 'velocity_reward': 74.20579022760393, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 329.6393406818215, 'gpt_reward': 743.7232221783166, 'gt_reward': 354.0, 'episode_length': 345.0}
Episode 2 finished with reward: {'angle_reward': 348.0677212153168, 'velocity_reward': 79.42107032263284, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 338.25579876354226, 'gpt_reward': 765.7445903014924, 'gt_reward': 363.0, 'episode_length': 354.0}
Episode 3 finished with reward: {'angle_reward': 400.2080232425358, 'velocity_reward': 95.66145854535485, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 386.31587563367185, 'gpt_reward': 882.1853574215638, 'gt_reward': 414.0, 'episode_length': 405.0}
Episode 4 finished with reward: {'angle_reward': 375.72800296077475, 'velocity_reward': 87.51074413037851, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 363.1191976455517, 'gpt_reward': 826.3579447367057, 'gt_reward': 389.0, 'episode_length': 380.0}
Episode 5 finished with reward: {'angle_reward': 336.7339838767451, 'velocity_reward': 73.45734782932362, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 326.92822749660627, 'gpt_reward': 737.119559202674, 'gt_reward': 351.0, 'episode_length': 342.0}
Episode 1 finished with reward: {'angle_reward': 1995.3684282414674, 'velocity_reward': 753.8355129530066, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1906.4374754532626, 'gpt_reward': 4655.6414166477425, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1995.1620005598315, 'velocity_reward': 718.1468964683039, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1908.4922460635216, 'gpt_reward': 4621.8011430916695, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1097.4215407802812, 'velocity_reward': 342.47950026254745, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1052.0779644160148, 'gpt_reward': 2491.9790054588416, 'gt_reward': 1111.0, 'episode_length': 1102.0}
Episode 4 finished with reward: {'angle_reward': 1370.0398329627046, 'velocity_reward': 443.2469813484899, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1314.9083177424914, 'gpt_reward': 3128.19513205368, 'gt_reward': 1385.0, 'episode_length': 1376.0}
Episode 5 finished with reward: {'angle_reward': 800.2450180317976, 'velocity_reward': 233.53605943607712, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 765.8537887421338, 'gpt_reward': 1799.6348662100092, 'gt_reward': 812.0, 'episode_length': 803.0}
Episode 1 finished with reward: {'angle_reward': 1994.8186736523048, 'velocity_reward': 820.5682910244798, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1910.1016099565602, 'gpt_reward': 4725.488574633349, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 2 finished with reward: {'angle_reward': 1993.375877953445, 'velocity_reward': 697.0937231308494, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1907.1648805228647, 'gpt_reward': 4597.634481607162, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 3 finished with reward: {'angle_reward': 1995.6775224359592, 'velocity_reward': 755.2047748965074, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1915.1248235554945, 'gpt_reward': 4666.007120887966, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 4 finished with reward: {'angle_reward': 1995.6482422182287, 'velocity_reward': 785.0565720576869, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1911.940028583329, 'gpt_reward': 4692.644842859237, 'gt_reward': 2009.0, 'episode_length': 2000.0}
Episode 5 finished with reward: {'angle_reward': 1994.8195032957651, 'velocity_reward': 822.8208185832772, 'threshold_touch_reward': 1.0, 'angular_velocity_reward': 1910.1761369993128, 'gpt_reward': 4728.816458878358, 'gt_reward': 2117.0, 'episode_length': 2000.0}
Episode 1 finished with reward: {'angle_reward': 1996.2617028280577, 'velocity_reward': 740.9997704255778, 'threshold_touch_reward': 0.0, 'angular_velocity_reward': 1905.7825715220388, 'gpt_reward': 4643.04404477567, 'gt_reward': 2000.0, 'episode_length': 2000.0}
