/Users/chunhaozou/Desktop/drl/envs/cartpole_original_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Episode 1 finished with reward: {'pole_upright_reward': 153.61397064300468, 'cart_centered_reward': 90.85180837151972, 'pole_stability_reward': 206.36648679323358, 'cart_stability_reward': 170.61289681709792, 'gpt_reward': 820.4850374536201, 'gt_reward': 222.0, 'episode_length': 222.0}
Episode 2 finished with reward: {'pole_upright_reward': 136.4784626349269, 'cart_centered_reward': 72.93932109254568, 'pole_stability_reward': 189.4834786351506, 'cart_stability_reward': 154.39156105926668, 'gpt_reward': 726.2409466030897, 'gt_reward': 204.0, 'episode_length': 204.0}
Episode 3 finished with reward: {'pole_upright_reward': 259.8369743222898, 'cart_centered_reward': 185.37482814240644, 'pole_stability_reward': 313.271223012673, 'cart_stability_reward': 282.1219366256674, 'gpt_reward': 1393.1293504965302, 'gt_reward': 337.0, 'episode_length': 337.0}
Episode 4 finished with reward: {'pole_upright_reward': 292.50817113126095, 'cart_centered_reward': 143.47856923358884, 'pole_stability_reward': 337.80012343970253, 'cart_stability_reward': 310.88605562326, 'gpt_reward': 1448.920375175868, 'gt_reward': 364.0, 'episode_length': 364.0}
Episode 5 finished with reward: {'pole_upright_reward': 443.47631765204954, 'cart_centered_reward': 313.1089727406935, 'pole_stability_reward': 464.55108698698837, 'cart_stability_reward': 466.9603334350414, 'gpt_reward': 2288.127514837169, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 1 finished with reward: {'pole_upright_reward': 363.4155442992352, 'cart_centered_reward': 221.6135684252903, 'pole_stability_reward': 403.98624804210095, 'cart_stability_reward': 380.3614012913131, 'gpt_reward': 1843.599090569821, 'gt_reward': 436.0, 'episode_length': 436.0}
Episode 2 finished with reward: {'pole_upright_reward': 236.5019972293106, 'cart_centered_reward': 139.2987398708462, 'pole_stability_reward': 282.89422350964446, 'cart_stability_reward': 253.5520399898171, 'gpt_reward': 1218.3983677643505, 'gt_reward': 305.0, 'episode_length': 305.0}
Episode 3 finished with reward: {'pole_upright_reward': 477.36747980610346, 'cart_centered_reward': 475.9768710155706, 'pole_stability_reward': 464.67184810913926, 'cart_stability_reward': 474.8871263665202, 'gpt_reward': 2608.2592406112226, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_upright_reward': 443.10678999426295, 'cart_centered_reward': 302.5791755216627, 'pole_stability_reward': 462.8179255042222, 'cart_stability_reward': 460.66830300370077, 'gpt_reward': 2263.568571778942, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_upright_reward': 473.85202941811394, 'cart_centered_reward': 344.7054470520078, 'pole_stability_reward': 463.56059109389327, 'cart_stability_reward': 470.06994054820694, 'gpt_reward': 2398.3927610563396, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 1 finished with reward: {'pole_upright_reward': 479.11166156128445, 'cart_centered_reward': 321.8225307765721, 'pole_stability_reward': 463.5272748129141, 'cart_stability_reward': 472.37808824133856, 'gpt_reward': 2376.862482341678, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_upright_reward': 477.0315759658305, 'cart_centered_reward': 314.4832287835082, 'pole_stability_reward': 463.14287011692414, 'cart_stability_reward': 470.0406421275194, 'gpt_reward': 2358.971507351368, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_upright_reward': 394.549638705065, 'cart_centered_reward': 179.77591936951808, 'pole_stability_reward': 423.77720779575895, 'cart_stability_reward': 399.8646299048478, 'gpt_reward': 1882.404994165014, 'gt_reward': 457.0, 'episode_length': 457.0}
Episode 4 finished with reward: {'pole_upright_reward': 481.1623177825046, 'cart_centered_reward': 382.0502594117999, 'pole_stability_reward': 463.38058676219606, 'cart_stability_reward': 475.87748156888324, 'gpt_reward': 2474.6580930137884, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_upright_reward': 347.0973958074028, 'cart_centered_reward': 153.51873096707885, 'pole_stability_reward': 375.45005121095875, 'cart_stability_reward': 349.5259744083069, 'gpt_reward': 1649.4489136846883, 'gt_reward': 405.0, 'episode_length': 405.0}
Episode 1 finished with reward: {'pole_upright_reward': 476.0804788229793, 'cart_centered_reward': 408.5357825752302, 'pole_stability_reward': 464.8386897706159, 'cart_stability_reward': 474.15151146668825, 'gpt_reward': 2503.954832746109, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_upright_reward': 313.15075219166107, 'cart_centered_reward': 129.6869189534386, 'pole_stability_reward': 359.72995252157676, 'cart_stability_reward': 334.16488419561654, 'gpt_reward': 1514.726719530674, 'gt_reward': 388.0, 'episode_length': 388.0}
Episode 3 finished with reward: {'pole_upright_reward': 474.8939614947535, 'cart_centered_reward': 400.1461342037352, 'pole_stability_reward': 464.14427880632314, 'cart_stability_reward': 475.1062001703469, 'gpt_reward': 2489.257603271774, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_upright_reward': 479.20610709298177, 'cart_centered_reward': 256.8103521666065, 'pole_stability_reward': 462.928864683458, 'cart_stability_reward': 469.82376445837906, 'gpt_reward': 2276.3803715777112, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_upright_reward': 301.57454617886384, 'cart_centered_reward': 117.06504014742937, 'pole_stability_reward': 337.54976070318696, 'cart_stability_reward': 311.459116690726, 'gpt_reward': 1427.7555299727858, 'gt_reward': 364.0, 'episode_length': 364.0}
Episode 1 finished with reward: {'pole_upright_reward': 473.61257346849567, 'cart_centered_reward': 407.3191346633111, 'pole_stability_reward': 465.27356337709887, 'cart_stability_reward': 473.3339990187473, 'gpt_reward': 2496.8114113278084, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_upright_reward': 473.44155541147484, 'cart_centered_reward': 137.96784403530623, 'pole_stability_reward': 463.5633793268373, 'cart_stability_reward': 453.0123541008016, 'gpt_reward': 2070.4106103035465, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_upright_reward': 476.69008177529685, 'cart_centered_reward': 322.3137019496967, 'pole_stability_reward': 464.6877748602364, 'cart_stability_reward': 470.6064174437563, 'gpt_reward': 2372.144908779131, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_upright_reward': 466.94414138302193, 'cart_centered_reward': 189.7246792181591, 'pole_stability_reward': 463.9324266660899, 'cart_stability_reward': 459.84972212792417, 'gpt_reward': 2142.2574503872975, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_upright_reward': 478.4224261772344, 'cart_centered_reward': 440.0618245194667, 'pole_stability_reward': 465.0152653238653, 'cart_stability_reward': 475.1831292366463, 'gpt_reward': 2557.1359836941806, 'gt_reward': 500.0, 'episode_length': 500.0}
