/Users/chunhaozou/Desktop/drl/envs/cartpole_original_train_eval.py:7: DeprecationWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html
  from pkg_resources import parse_requirements
name: __main__
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Episode 1 finished with reward: {'pole_stability_reward': 361.5872013567504, 'cart_position_penalty': 366.0844973242539, 'gpt_reward': 727.6716986810034, 'gt_reward': 401.0, 'episode_length': 401.0}
Episode 2 finished with reward: {'pole_stability_reward': 111.29700089962815, 'cart_position_penalty': 118.09454997846233, 'gpt_reward': 229.39155087809047, 'gt_reward': 145.0, 'episode_length': 145.0}
Episode 3 finished with reward: {'pole_stability_reward': 175.69740081659094, 'cart_position_penalty': 180.6656846304734, 'gpt_reward': 356.36308544706446, 'gt_reward': 214.0, 'episode_length': 214.0}
Episode 4 finished with reward: {'pole_stability_reward': 218.56512936398482, 'cart_position_penalty': 221.52038411920265, 'gpt_reward': 440.0855134831873, 'gt_reward': 256.0, 'episode_length': 256.0}
Episode 5 finished with reward: {'pole_stability_reward': 305.1392114897793, 'cart_position_penalty': 310.77239936394125, 'gpt_reward': 615.9116108537202, 'gt_reward': 345.0, 'episode_length': 345.0}
Episode 1 finished with reward: {'pole_stability_reward': 491.7040075102467, 'cart_position_penalty': 469.28340386119083, 'gpt_reward': 960.9874113714383, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_stability_reward': 491.86380640271943, 'cart_position_penalty': 454.5993373325717, 'gpt_reward': 946.4631437352916, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_stability_reward': 258.63001046033025, 'cart_position_penalty': 202.58359658551254, 'gpt_reward': 461.2136070458426, 'gt_reward': 296.0, 'episode_length': 296.0}
Episode 4 finished with reward: {'pole_stability_reward': 483.0705214934566, 'cart_position_penalty': 441.04307347598143, 'gpt_reward': 924.1135949694379, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_stability_reward': 446.2893202868918, 'cart_position_penalty': 384.68151021836513, 'gpt_reward': 830.9708305052565, 'gt_reward': 487.0, 'episode_length': 487.0}
Episode 1 finished with reward: {'pole_stability_reward': 490.4600562297312, 'cart_position_penalty': 491.6497804072528, 'gpt_reward': 982.1098366369821, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_stability_reward': 491.8692954545775, 'cart_position_penalty': 485.01134179066946, 'gpt_reward': 976.8806372452459, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_stability_reward': 491.01528208387447, 'cart_position_penalty': 464.53058123228436, 'gpt_reward': 955.5458633161578, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_stability_reward': 491.08140400046113, 'cart_position_penalty': 479.6127201469307, 'gpt_reward': 970.6941241473904, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_stability_reward': 490.7597700624972, 'cart_position_penalty': 484.46922639967, 'gpt_reward': 975.2289964621667, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 1 finished with reward: {'pole_stability_reward': 492.0983718999427, 'cart_position_penalty': 467.78766699847137, 'gpt_reward': 959.8860388984134, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 2 finished with reward: {'pole_stability_reward': 490.4075848450748, 'cart_position_penalty': 354.14854566459894, 'gpt_reward': 844.5561305096741, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 3 finished with reward: {'pole_stability_reward': 491.7846586712431, 'cart_position_penalty': 483.0043874004391, 'gpt_reward': 974.7890460716835, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 4 finished with reward: {'pole_stability_reward': 492.39286108881964, 'cart_position_penalty': 497.763734307216, 'gpt_reward': 990.1565953960366, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 5 finished with reward: {'pole_stability_reward': 491.8654071289873, 'cart_position_penalty': 495.05087963505025, 'gpt_reward': 986.9162867640376, 'gt_reward': 500.0, 'episode_length': 500.0}
Episode 1 finished with reward: {'pole_stability_reward': 490.5713521751766, 'cart_position_penalty': 488.85118069871675, 'gpt_reward': 979.4225328738935, 'gt_reward': 500.0, 'episode_length': 500.0}
